Number,"Customer name",Date,"po number","due date",terms,"public notes","private notes",description,product_id,unit_price,unit_discount,unit_tax,quantity,shipping_cost,tax_rate,"custom value1","custom value2","custom value3","custom value4",exchange_rate,"Amount Paid","Payments Made"
0224012318230,"Christy Lindgren",2021-06-11,,"2021-06-14 00:00:00","Sunt molestias deserunt delectus et mollitia animi sit ea. Maxime consectetur officiis iste eligendi sint omnis qui voluptatem. Animi odio non et. Est vitae occaecati omnis in et rerum. Tempore atque ut velit adipisci voluptatum. Optio numquam ipsum labore porro nihil et sed. Officia quae qui iste omnis quisquam. Consequatur amet eos voluptatem non est minima. Non quis delectus veritatis et quo. Nihil ratione voluptas dolorem aut quo pariatur eius.","Corporis magni assumenda doloribus sunt vitae. Molestias corporis aut id ex eum. Expedita laboriosam cumque rerum sint ad. Aut qui in tenetur ad maxime nihil.",,,,160,0,0,1,0,0,,,,,1,,
2763495172802,"Harold Kuphal",2021-06-11,,"2021-06-14 00:00:00","Dolore eum ratione ea et rerum quae. Quia et consequatur cupiditate unde suscipit et non vero. Nesciunt repellendus quis non necessitatibus aliquid. Et eos inventore ut neque est. Consequatur maxime placeat numquam amet temporibus soluta odio. Et qui velit sit eum quia et ipsam sed. Reiciendis mollitia omnis harum iure repellat consequatur ut minima.","Quo soluta est architecto occaecati debitis necessitatibus. Autem nisi ut sunt est voluptates. Quia ut nihil commodi.",,,,160,0,0,1,0,0,,,,,1,,
0057,"Michael Hampton",2021-05-25,,"2021-05-26 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,10,0,,,,,1,,
0056,"Michael Hampton",2021-05-25,,"2021-05-26 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,10,0,,,,,1,,
0055,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0054,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0053,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0052,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0051,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
0050,"Michael Hampton",2021-05-24,,"2021-05-25 00:00:00","invoice terms",provate,,"Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",,11,2,17.500,1,0,0,,,,,1,,
